MotorSpeed,Voltage,Current,Temperature,NumberOfStarts,RunTime,Vibration,Age,MotorLoad,FaultHistory,RUL
1474.84,453.99,4.32,40.92,24,1403.99,0.343,6343.29,54.22,0,76.17
1443.09,449.25,4.86,51.4,10,621.64,0.343,2389.45,96.48,0,3925.04
1482.38,440.6,4.21,55.86,8,1591.84,0.86,4703.95,37.18,0,1307.49
1526.15,433.53,4.69,78.88,21,1124.55,0.672,6750.81,61.33,0,0.0
1438.29,446.98,3.11,65.57,6,1310.17,0.45,5751.76,78.88,0,367.8
1438.29,443.93,5.21,46.65,21,1440.12,0.634,5016.64,64.55,1,1099.7
1528.96,448.95,5.0,64.86,39,1291.79,0.416,4326.34,94.32,0,1817.08
1488.37,446.35,4.18,44.53,24,966.84,0.522,5303.34,50.24,1,890.32
1426.53,450.5,5.66,70.83,33,1365.31,0.588,5865.87,57.09,0,131.7
1477.13,434.65,5.94,55.29,18,1076.38,0.416,4008.66,27.08,0,2230.21
1426.83,453.17,3.39,59.06,28,1327.15,0.363,5557.6,68.72,0,670.28
1426.71,441.98,4.24,73.26,32,1359.96,0.745,6617.65,43.06,1,0.0
1462.1,460.75,4.23,47.13,12,672.73,0.623,4666.28,32.82,0,1551.02
1354.34,433.11,4.06,46.03,48,1238.29,0.049,5102.18,63.56,0,1412.99
1363.75,457.36,5.83,54.16,42,945.43,0.366,5725.67,62.58,0,549.51
1421.89,441.98,4.81,70.38,27,1041.46,0.344,5827.0,26.07,0,297.29
1399.36,433.49,4.74,44.81,10,1038.13,0.376,6317.68,75.86,0,46.37
1465.71,435.16,3.0,31.68,46,1026.09,0.672,3478.44,69.9,0,2868.54
1404.6,436.8,5.64,55.49,42,1457.06,0.504,4206.62,35.12,0,1986.58
1379.38,444.24,3.76,65.52,32,590.07,0.222,4262.18,57.55,0,1971.61
1523.28,445.23,5.06,72.0,42,483.3,0.423,3644.13,77.63,0,2424.16
1438.71,434.26,5.28,55.37,26,420.01,0.608,2302.38,62.35,1,3739.76
1453.38,439.76,6.36,55.89,25,1320.74,0.456,118.28,51.64,1,5994.83
1378.76,461.42,3.69,71.54,11,767.97,0.371,6793.18,45.79,0,0.0
1422.78,457.28,1.98,41.3,23,1039.66,0.566,2669.16,68.83,0,3634.69
1455.55,444.36,5.18,56.11,34,965.58,0.824,7349.76,95.13,1,0.0
1392.45,440.38,6.8,61.9,40,734.09,0.592,6109.11,73.74,0,0.0
1468.78,441.2,6.24,64.49,23,1255.44,0.76,4391.47,25.98,0,1583.52
1419.97,446.14,5.21,54.9,29,961.76,0.384,5924.63,56.85,1,234.11
1435.42,429.77,4.51,60.34,31,928.68,0.498,5637.7,91.27,0,509.69
1419.91,437.43,5.81,35.12,7,1069.86,0.494,3347.34,27.56,0,3054.35
1542.61,423.31,4.03,53.42,40,1216.23,0.524,4977.53,99.11,1,1126.42
1449.33,443.99,5.48,64.54,33,712.31,0.588,3530.24,95.93,0,2530.36
1397.11,446.47,5.51,50.18,21,1261.88,0.316,5981.19,26.26,1,258.93
1491.13,435.17,6.06,60.59,2,1434.96,0.629,3927.17,94.67,1,2052.2
1388.96,455.74,7.76,64.47,18,572.16,0.174,4855.06,49.05,2,1213.05
1460.44,427.74,5.39,56.57,47,1083.49,0.233,4790.3,87.58,0,1527.53
1352.02,425.36,4.49,61.7,33,908.52,0.927,5182.37,53.47,0,737.02
1383.59,442.24,4.97,50.37,37,1209.77,0.398,7493.83,55.27,0,0.0
1459.84,450.47,3.23,57.93,34,635.0,0.646,4638.56,70.74,0,1459.15
1486.92,456.84,4.31,66.1,20,1488.68,0.84,6826.89,81.96,0,0.0
1458.57,435.41,4.59,61.57,35,517.63,0.037,5720.0,22.7,0,645.75
1444.22,450.79,4.48,54.13,18,926.72,0.725,7127.6,67.45,0,0.0
1434.94,439.61,5.15,62.24,46,1130.29,0.63,4492.35,34.94,0,1570.34
1376.07,438.27,4.18,67.15,24,794.1,0.828,6044.2,47.68,0,0.0
1414.01,448.84,6.12,39.5,8,746.98,0.264,4911.1,47.84,1,1462.05
1426.97,446.52,5.0,71.59,30,1066.67,0.79,515.91,57.52,1,5273.06
1502.86,424.24,4.99,56.64,44,1023.33,0.352,3365.23,46.73,2,2692.33
1467.18,454.77,4.67,64.25,10,1001.78,0.711,5873.57,28.59,0,128.41
